PB Role URI	PB RoleSet	PB Role	VerbNet Role URI for FRED	VN_Role	VN_Sense	VerbNet VerbSense URI for FRED
https://w3id.org/framester/pb/pbdata/knead.01__2	knead.01	ARG2	https://w3id.org/framester/vn/vn31/data/Product.knead_26050000	Product	Knead_26050000	https://w3id.org/framester/vn/vn31/data/Knead_26050000
https://w3id.org/framester/pb/pbdata/kneel.01__0	kneel.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.kneel_40030300	Agent	Kneel_40030300	https://w3id.org/framester/vn/vn31/data/Kneel_40030300
https://w3id.org/framester/pb/pbdata/kneel.01__0	kneel.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.kneel_47060000	Agent	Kneel_47060000	https://w3id.org/framester/vn/vn31/data/Kneel_47060000
https://w3id.org/framester/pb/pbdata/kneel.01__0	kneel.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.kneel_50000000	Agent	Kneel_50000000	https://w3id.org/framester/vn/vn31/data/Kneel_50000000
https://w3id.org/framester/pb/pbdata/kneel.01__0	kneel.01	ARG0	https://w3id.org/framester/vn/vn31/data/Theme.kneel_47060000	Theme	Kneel_47060000	https://w3id.org/framester/vn/vn31/data/Kneel_47060000
https://w3id.org/framester/pb/pbdata/kneel.01__LOC	kneel.01	ARG-LOC	https://w3id.org/framester/vn/vn31/data/Location.kneel_47060000	Location	Kneel_47060000	https://w3id.org/framester/vn/vn31/data/Kneel_47060000
https://w3id.org/framester/pb/pbdata/knife.01__0	knife.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.knife_18030000	Agent	Knife_18030000	https://w3id.org/framester/vn/vn31/data/Knife_18030000
https://w3id.org/framester/pb/pbdata/knife.01__0	knife.01	ARG0	https://w3id.org/framester/vn/vn31/data/Agent.knife_42020000	Agent	Knife_42020000	https://w3id.org/framester/vn/vn31/data/Knife_42020000
https://w3id.org/framester/pb/pbdata/knife.01__1	knife.01	ARG1	https://w3id.org/framester/vn/vn31/data/Patient.knife_18030000	Patient	Knife_18030000	https://w3id.org/framester/vn/vn31/data/Knife_18030000
https://w3id.org/framester/pb/pbdata/knife.01__1	knife.01	ARG1	https://w3id.org/framester/vn/vn31/data/Patient.knife_42020000	Patient	Knife_42020000	https://w3id.org/framester/vn/vn31/data/Knife_42020000
